experiment_full,version,baseline,scenario_id,tokens,latency_s,tool_calls,context_pollution,success,strategy,file
v5_agent_driven_checkpoints,v5,Standard/Manual,N/A,4478,6.606,8,328,0,failed,v5_run_1778185266754.json
v5_agent_driven_checkpoints,v5,Checkpoint,N/A,8108,11.345,10,446,0,failed,v5_run_1778185266754.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F1,1760,3.641,3,292,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F1,833,1.597,2,244,1,snapshot_restore,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F1,1726,3.052,3,294,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F1,833,2.02,2,244,1,snapshot_restore,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F1,1757,4.532,3,291,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F1,2542,3.666,4,331,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F1,1760,3.489,3,292,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F1,2542,3.627,4,331,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F2,1757,3.863,3,291,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F2,384,1.124,1,212,1,snapshot_restore,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F2,1757,4.124,3,291,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F2,384,0.797,1,212,1,snapshot_restore,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F2,1760,3.282,3,292,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F2,2542,3.95,4,331,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F2,1757,3.612,3,291,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F2,833,1.464,2,244,1,snapshot_restore,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F3,743,1.414,1,255,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F3,820,1.521,1,250,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F3,730,1.599,1,242,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F3,814,1.703,1,244,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F3,743,1.46,1,255,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F3,817,2.298,1,247,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F3,743,1.868,1,255,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F3,820,1.825,1,250,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F4,1757,3.886,3,291,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F4,2650,4.034,4,362,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F4,1757,3.164,3,291,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F4,384,0.805,1,212,1,snapshot_restore,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F4,1757,3.965,3,291,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F4,384,0.925,1,212,1,snapshot_restore,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F4,1757,3.426,3,291,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F4,2638,4.951,4,358,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F5,744,1.557,1,256,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F5,817,1.408,1,247,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,Standard/Manual,F5,743,1.54,1,255,1,manual_repair,v4_1_run_1778176413143.json
v4_1_complex_stateful_failures,v4,SnapVM,F5,817,1.446,1,247,1,manual_repair,v4_1_run_1778176413143.json
